ID,Page,Total,Unique
fdvxUkQX,Example 1,402321,112215
XECP9PRx,Example 2,399921,121115
Yc7s9nsR,Example 3,2282321,850123
m2Yuz6m8,Example 4,1913512,650123
zqntdAJP,Example 5,1231312,55523
fQNfM6jp,Example 6,884674,151231
zTyUpqDW,Example 7,521312,112352
v7H6KijG,Example 8,100521,82122
qaHVeecQ,Example 9,201592,101222
whGkeD36,Example 10,6111911,6002132
8USseJu8,Example 11,133337,133337
XFPfiSRD,Example 12,42121,12314
xpHzBAH6,Example 13,533112,333121
AVM9WTJv,Example 14,112553,88462
VU6WiL8w,Example 15,5524121,3132123
eTagbwUZ,Example 16,4231261,712441
qRmnmcLb,Example 17,111212,44121
3Ko8CvAT,Example 18,121661,11412
kV2prUqq,Example 19,661312,44121
kk2iiOpsA,Example 20,112144,22131
